targetid,z,zerr,chi2,spectype,morphtype,ebv,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag
39627914643246224,1.3852612000998084,8.88920453531988e-05,7543.612745285034,GALAXY,REX,0.024431158,0.74771285,1.040751,1.9203233,11.180589,14.705829,905.55383,155.15056,28.422634,2.9310966,0.59517986,0.38219354,0.53198004,0.9815735,0.3868716,0.5386124,0.9891484,0.0,0.0,0.0
39627884477809431,0.9307643201484793,1.9288049666138853e-05,7968.5196623802185,GALAXY,REX,0.021243447,0.45424864,0.6604617,1.4344614,1.0829148,-1.2598107,1039.55,411.68967,85.41176,2.6533017,0.5744842,0.32131547,0.4671815,1.0146747,0.32131836,0.46718672,1.0147014,0.0,0.0,0.0
39627890513413026,1.4208605538502752,7.125838402782605e-05,7936.6544687747955,GALAXY,PSF,0.025131434,0.5329782,0.5809589,0.8052443,-0.75010866,-0.9303332,792.8095,272.21222,78.010185,2.2123442,0.52416384,0.4144166,0.451724,0.6261169,0.4144166,0.451724,0.6261169,0.0,0.0,0.0
39627896528045707,1.235603543563485,3.0087338548517696e-05,7829.382771015167,GALAXY,REX,0.016513309,0.8188137,0.95012164,1.1105422,0.5857843,1.0296384,497.3171,150.71436,33.812744,2.7991288,0.5800751,0.3583308,0.41579401,0.48599756,0.3583308,0.41579401,0.48599756,0.0,0.0,0.0
39627890513414452,1.5592473616637517,0.00011276011909995799,7839.0484056174755,GALAXY,REX,0.02407463,0.548354,0.6964384,1.0541625,459.96008,419.67194,625.8507,161.41211,44.154762,0.68677497,0.24390148,0.2374871,0.30162108,0.45654812,0.2374871,0.30162108,0.45654812,0.0,0.0,0.0
39627896540630995,1.2743885953662282,4.89579173379478e-05,7825.3259755373,GALAXY,REX,0.024240626,0.55494297,0.6918991,0.89105415,0.26470613,-1.1292127,1019.14746,392.21658,81.46432,2.548167,0.5654867,0.38537446,0.48048225,0.6187835,0.38537446,0.48048225,0.6187835,0.0,0.0,0.0
2411638988734466,0.009094136916910167,1.6261688924146492e-05,7963.612703151302,GALAXY,,0.016690856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39627932649390481,1.1001830653274425,8.713530304949126e-05,7374.935238391161,GALAXY,REX,0.016674647,0.5997045,0.8826637,1.8934003,5.6290197,4.5580916,444.34387,145.77563,40.05088,2.7393324,0.5787581,0.24360871,0.3585509,0.7691269,0.24360986,0.3585509,0.76914585,0.0,0.0,0.0
39627908641200000,0.9296508031975957,3.88157419270344e-05,8229.257759809494,GALAXY,REX,0.02200662,0.5675815,0.9030532,1.9228531,3.7801259,5.2165904,942.1464,357.33435,83.045265,2.9314318,0.6080812,0.3023622,0.48107484,1.024343,0.3023622,0.48107484,1.024343,0.0,0.0,0.0
39627926714455428,0.9114202311308766,3.96504708104445e-05,8197.985255897045,GALAXY,REX,0.031053232,0.69258857,0.9938974,1.8926454,0.97674304,2.6980383,1262.0862,252.41112,57.220966,2.9731164,0.64547473,0.38520336,0.55278504,1.05265,0.38520336,0.55278504,1.05265,0.0,0.0,0.0
39627950764592466,1.3233186258086798,9.853527130169016e-05,8058.691869139671,GALAXY,REX,0.02744181,0.57424396,0.5828221,1.1526253,2.264122,7.10027,1430.2349,436.25018,97.68947,2.806276,0.6165375,0.38832167,0.39412245,0.7794412,0.38832182,0.39412296,0.7794476,0.0,0.0,0.0
39627806237265747,0.8017149401358966,1.609482773205889e-05,8678.49575662613,GALAXY,EXP,0.028092112,0.8009756,1.1005305,2.0782921,2.8389406,2.292717,795.5602,226.45442,59.235638,3.259943,0.6998327,0.37100977,0.50976276,0.9626593,0.37100977,0.50976276,0.9626593,0.0,0.0,0.0
39627806254043906,0.8025963470233749,0.0002468899861183326,7720.57027133368,GALAXY,DEV,0.02942843,0.18853112,0.93955946,5.8409643,20.842209,10.537432,447.69897,181.33817,35.817837,2.630567,0.6388444,0.091587156,0.45643175,2.8375015,0.091587156,0.45643175,2.8375015,0.0,0.0,0.0
39627818333638859,1.3718768746651675,0.0004964904968114675,8004.9903212422505,QSO,REX,0.025563065,0.82874376,1.01149,1.9089016,9.204606,9.811874,931.72076,330.60788,65.042786,2.9308174,0.67905307,0.5390967,0.6579729,1.2417378,0.5390967,0.65797323,1.2417397,0.0,0.0,0.0
39627818342026715,1.5177366688432385,4.809212518495957e-05,7794.422860622406,GALAXY,EXP,0.021997701,0.8719689,0.9294437,1.3602327,2.278231,0.11128043,679.8123,263.36768,43.23222,3.2764375,0.71785045,0.4270235,0.45517024,0.66613764,0.4270235,0.45517024,0.66613764,0.0,0.0,0.0
39627818342026843,0.3575928691130493,1.7825370594449005e-05,9383.136261224747,GALAXY,REX,0.022818245,2.926189,10.666196,27.427498,59.265793,46.73019,250.20523,108.1213,12.917118,2.0269976,0.55671954,0.98657745,3.596155,9.247302,0.9869272,3.597112,9.248959,0.0,0.0,0.0
39627824360851420,1.667006430987787,0.0014155192553503126,8126.664398152614,QSO,PSF,0.028500117,1.4875432,1.4914907,2.3558886,19.803625,26.806799,719.7652,273.20898,51.361828,2.892402,0.6244187,1.156964,1.1600342,1.8323354,1.156964,1.1600342,1.8323354,0.0,0.0,0.0
39627830404846571,0.985461493057033,7.90816811447166e-05,7529.580611497164,GALAXY,REX,0.021716312,0.43246278,0.38097832,1.0945038,1.2787939,0.80448127,872.75,278.17874,59.666847,3.1717887,0.66834533,0.22270249,0.19618988,0.5636293,0.22270249,0.19618988,0.5636293,0.0,0.0,0.0
